Student,StudyHours,Attendance,PreviousMarks,Result
Aarav,1,55,28,Fail
Sita,2,60,32,Fail
Ram,2,65,36,Fail
Anisha,3,70,40,Fail
Rohan,3,72,43,Fail
Priya,4,75,48,Average
Kiran,4,78,52,Average
Nabin,5,80,56,Average
Suman,5,82,60,Average
Alisha,5,84,63,Average
Bikash,6,86,67,Good
Sabina,6,88,70,Good
Roshan,6,90,73,Good
Puja,7,91,76,Good
Manish,7,92,79,Good
Rita,7,93,82,Good
Deepa,8,94,84,Good
Sanjay,8,95,87,Good
Kushal,8,96,89,Good
Aakash,9,97,91,Good
Bina,9,90,75,Good
Nischal,9,94,85,Good
Rekha,10,98,93,Good
Sagar,10,99,95,Good
Mina,10,96,90,Good
